time,type,thing,fisher,weight,worth,total
1717327516511,junk,CB Longneck,iiiiq,0.22,2,1787
1717327538357,uncommon,Frontosa Cichlid,iiiiq,0.51,35,1822
1717327559984,common,Perch,iiiiq,2.45,24,1846
1717327582455,rare,Oreochromis,iiiiq,1.99,66,1912
1717327606083,epic,Orange Discus,iiiiq,0.33,123,2035
1717327628487,rare,Green Sea Turtle,iiiiq,142,62,2097
1717327649688,junk,Thong,iiiiq,0.16,2,2099
1717327672645,junk,Broken Sword,iiiiq,0.89,89,2188
1717327694146,common,Blue Discus,iiiiq,0.18,18,2206
1717327716351,rare,Nimbochromis,iiiiq,2.42,52,2258
1717327754065,legendary,Blue Whale,iiiiq,107,828,3086
1717327777168,rare,Sailfish,iiiiq,76,97,3183
1717327798539,junk,Mug,iiiiq,0.53,11,3194
1717327822936,epic,Old PC,iiiiq,16.2,162,3356
1717327848438,epic,Eagle Ray,iiiiq,227,217,3573
1717327869913,common,Carp,iiiiq,8,15,3588
1717327892672,rare,Red-knobbed Starfish,iiiiq,0.11,79,3667
1717327914020,common,Mussel,iiiiq,0.1,10,3677
1717327939149,epic,Old PC,iiiiq,19.9,199,3876
1717327960900,junk,Bike,iiiiq,10,30,3906
1717327983070,uncommon,Watch,iiiiq,0.2,51,3957
1717328004908,uncommon,Murex Shellfish,iiiiq,0.42,34,3991
1717328027871,rare,Wahoo,iiiiq,14.1,91,4082
1717328050649,rare,Orange-Spotted Spinefoot,iiiiq,0.11,78,4160
1717328072192,common,Mackerel,iiiiq,2.22,22,4182
1717328093450,junk,Can,iiiiq,0.48,5,4187
1717328114649,junk,Soda Can,iiiiq,0.1,1,4188
1717328136046,common,Carp,iiiiq,6.9,13,4201
1717328167752,legendary,Golden Crown,iiiiq,1.05,527,4728
1717328190005,rare,Nimbochromis,iiiiq,2.55,55,4783
1717328211722,common,Salmon,iiiiq,3.69,28,4811
1717328232994,junk,Fish Cracker,iiiiq,0.52,5,4816
1717328254430,common,Trout,iiiiq,0.91,14,4830
1717328279153,epic,Orange Mandarin Fish,iiiiq,0.2,178,5008
1717328300907,common,Atlantic Cod,iiiiq,39,29,5037
1717328322672,common,Barracuda,iiiiq,9.3,31,5068
1717328344539,uncommon,Red Eye Fish,iiiiq,2.52,35,5103
1717328366061,junk,VHS Tape,iiiiq,0.47,19,5122
1717328387524,common,Carp,iiiiq,8.6,16,5138
1717328409218,common,Black Redeye,iiiiq,34,26,5164
1717328430941,uncommon,Sea Urchin,kolyaoleksyuk,0.19,28,88
1717328452839,uncommon,Scrapermouth Mbuna,iiiiq,0.19,37,5201
1717328474151,junk,Vape,iiiiq,0.16,8,5209
1717328495509,junk,Tire,iiiiq,30,10,5219
1717328517137,common,Salmon,iiiiq,3.24,24,5243
1717328540047,rare,Clownfish,iiiiq,0.19,87,5330
1717328561576,common,Hermit Crab,iiiiq,0.97,19,5349
1717328587140,legendary,Croissant Shark,iiiiq,0.88,221,5570
1717328608753,common,Hermit Crab,iiiiq,1.13,23,5593
1717328632176,epic,Orange Discus,iiiiq,0.31,113,5706
1717328655107,rare,Yellowtang,iiiiq,0.69,89,5795
1717328676299,junk,Soda Can,iiiiq,0.1,1,5796
1717328697523,junk,Nugget,iiiiq,0.21,2,5798
1717328718986,common,Carp,iiiiq,8.7,16,5814
1717328741921,rare,Red Discus,iiiiq,0.39,89,5903
1717328764115,junk,Scooter,iiiiq,15.6,52,5955
1717328794441,legendary,Golden Crown,iiiiq,0.91,457,6412
1717328815657,junk,CB Longneck,iiiiq,0.21,2,6414
1717328837226,common,Hermit Crab,iiiiq,1.07,21,6435
